,Date,Symbol,Price,Open,High,Low,Volume
0,"Dec 31, 2021",BTC,46219.5,47123.3,48553.9,45693.6,58.18K
1,"Dec 30, 2021",BTC,47123.3,46470.7,47901.4,46003.0,60.96K
2,"Dec 29, 2021",BTC,46461.7,47548.4,48121.7,46127.8,63.92K
3,"Dec 28, 2021",BTC,47545.2,50703.4,50703.8,47345.7,74.39K
4,"Dec 27, 2021",BTC,50678.2,50783.6,52016.3,50459.0,43.90K
5,"Dec 26, 2021",BTC,50779.9,50404.0,51247.0,49527.0,32.34K
6,"Dec 25, 2021",BTC,50406.4,50789.6,51140.2,50196.8,26.67K
7,"Dec 24, 2021",BTC,50786.1,50807.4,51795.3,50428.4,45.97K
8,"Dec 23, 2021",BTC,50801.0,48599.6,51355.6,48053.4,56.24K
9,"Dec 22, 2021",BTC,48599.7,48898.7,49540.3,48449.7,40.89K
10,"Dec 21, 2021",BTC,48902.0,46900.1,49306.1,46654.0,57.88K
11,"Dec 20, 2021",BTC,46895.2,46703.4,47488.9,45577.3,57.53K
12,"Dec 19, 2021",BTC,46704.5,46855.7,48270.2,46438.4,44.05K
13,"Dec 18, 2021",BTC,46856.2,46171.8,47330.2,45513.4,36.93K
14,"Dec 17, 2021",BTC,46172.2,47630.4,47997.2,45523.8,67.50K
15,"Dec 16, 2021",BTC,47628.2,48876.6,49387.8,47543.9,48.20K
16,"Dec 15, 2021",BTC,48871.5,48366.2,49477.9,46572.6,80.28K
17,"Dec 14, 2021",BTC,48366.5,46709.8,48635.0,46338.3,62.54K
18,"Dec 13, 2021",BTC,46703.6,50075.9,50196.1,45848.2,80.37K
19,"Dec 12, 2021",BTC,50081.0,49332.5,50779.2,48670.5,40.30K
20,"Dec 11, 2021",BTC,49314.5,47138.4,49487.0,46834.0,45.23K
21,"Dec 10, 2021",BTC,47137.2,47591.7,49974.8,47007.1,68.06K
22,"Dec 09, 2021",BTC,47596.6,50477.6,50790.2,47341.9,58.69K
23,"Dec 08, 2021",BTC,50473.9,50596.6,51204.7,48700.7,55.59K
24,"Dec 07, 2021",BTC,50595.2,50547.4,51918.6,50070.9,56.29K
25,"Dec 06, 2021",BTC,50562.1,49412.1,50913.3,47237.9,89.68K
26,"Dec 05, 2021",BTC,49405.5,49196.4,49689.3,47797.8,72.03K
27,"Dec 04, 2021",BTC,49195.2,53620.7,53847.2,42587.8,168.00K
28,"Dec 03, 2021",BTC,53631.5,56495.2,57543.6,52008.9,89.20K
29,"Dec 02, 2021",BTC,56496.0,57207.8,57377.5,55807.9,54.94K
30,"Dec 01, 2021",BTC,57210.3,56891.7,59064.3,56496.5,66.75K
31,"Nov 30, 2021",BTC,56882.9,57795.2,59174.4,55936.9,73.66K
32,"Nov 29, 2021",BTC,57794.8,57288.1,58855.2,56726.7,58.65K
33,"Nov 28, 2021",BTC,57291.5,54758.0,57392.3,53448.3,49.28K
34,"Nov 27, 2021",BTC,54765.9,53747.2,55280.3,53654.3,40.71K
